Table of Peaks
No.	(ppm)	Height
1	0.55	0.0972
2	0.81	0.0680
3	0.83	0.0721
4	0.83	0.0699
5	0.84	0.0688
6	0.91	0.0724
7	0.92	0.0741
8	1.01	0.0501
9	1.02	0.0508
10	1.23	0.0011
11	1.24	0.0011
12	1.25	0.0018
13	1.25	0.0024
14	1.25	0.0031
15	1.26	0.0015
16	1.26	0.0029
17	1.27	0.0041
18	1.27	0.0027
19	1.29	0.0034
20	1.29	0.0046
21	1.30	0.0055
22	1.31	0.0110
23	1.32	0.0062
24	1.33	0.0090
25	1.34	0.0031
26	1.35	0.0031
27	1.41	0.0005
28	1.42	0.0010
29	1.42	0.0010
30	1.43	0.0011
31	1.43	0.0037
32	1.43	0.0039
33	1.44	0.0034
34	1.44	0.0066
35	1.45	0.0049
36	1.45	0.0044
37	1.45	0.0082
38	1.45	0.0080
39	1.46	0.0067
40	1.46	0.0100
41	1.47	0.0050
42	1.47	0.0080
43	1.48	0.0071
44	1.49	0.0053
45	1.49	0.0039
46	1.50	0.0028
47	1.50	0.0010
48	1.50	0.0010
49	1.51	0.0018
50	1.52	0.0239
51	1.53	0.0269
52	1.53	0.0024
53	1.54	0.0029
54	1.55	0.0039
55	1.55	0.0238
56	1.56	0.0014
57	1.57	0.0009
58	1.57	0.0011
59	1.58	0.0010
60	1.64	0.0011
61	1.65	0.0039
62	1.66	0.0061
63	1.66	0.0064
64	1.67	0.0062
65	1.67	0.0074
66	1.68	0.0100
67	1.69	0.0115
68	1.69	0.0071
69	1.70	0.0055
70	1.70	0.0045
71	1.71	0.0056
72	1.71	0.0036
73	1.72	0.0038
74	1.72	0.0039
75	1.72	0.0021
76	1.73	0.0029
77	1.73	0.0017
78	1.75	0.0012
79	1.82	0.0010
80	1.84	0.0048
81	1.85	0.0081
82	1.86	0.0075
83	1.87	0.0046
84	1.88	0.0011
85	1.90	0.0012
86	1.90	0.0014
87	1.90	0.0026
88	1.91	0.0021
89	1.91	0.0029
90	1.91	0.0029
91	1.92	0.0038
92	1.92	0.0030
93	1.92	0.0030
94	1.92	0.0036
95	1.93	0.0024
96	1.93	0.0025
97	1.94	0.0018
98	1.94	0.0024
99	1.94	0.0013
100	1.95	0.0012
101	1.96	0.0032
102	1.96	0.0043
103	1.97	0.0059
104	1.99	0.0077
105	1.99	0.0070
106	2.00	0.0053
107	2.01	0.0045
108	2.02	0.0038
109	2.02	0.0035
110	2.03	0.0044
111	2.04	0.0012
112	2.04	0.0028
113	2.05	0.0007
114	2.16	0.0023
115	2.16	0.0025
116	2.17	0.0025
117	2.18	0.0047
118	2.19	0.0029
119	2.19	0.0030
120	2.20	0.0024
121	2.27	0.0040
122	2.28	0.0042
123	2.29	0.0047
124	2.30	0.0047
125	2.38	0.0026
126	2.38	0.0031
127	2.39	0.0030
128	2.40	0.0042
129	2.41	0.0024
130	2.41	0.0025
131	2.42	0.0020
132	2.56	0.0047
133	2.56	0.0049
134	2.58	0.0041
135	2.59	0.0041
136	2.81	0.0016
137	2.81	0.0030
138	2.82	0.0039
139	2.83	0.0026
140	2.84	0.0040
141	3.93	0.0010
142	3.93	0.0020
143	3.94	0.0035
144	3.94	0.0046
145	3.95	0.0041
146	3.95	0.0041
147	3.95	0.0045
148	3.96	0.0035
149	3.97	0.0020
150	3.97	0.0009
