Table of Peaks
No.	(ppm)	Height
1	0.68	0.0606
2	0.68	0.0910
3	0.77	0.0427
4	0.77	0.0462
5	0.78	0.0715
6	0.78	0.0477
7	0.79	0.0375
8	0.80	0.0548
9	0.81	0.0564
10	0.85	0.0553
11	0.85	0.0397
12	0.86	0.0575
13	0.86	0.0401
14	0.91	0.0443
15	0.91	0.0365
16	0.92	0.0493
17	0.93	0.0347
18	0.93	0.0109
19	0.94	0.0044
20	0.95	0.0090
21	0.95	0.0074
22	0.96	0.0051
23	0.98	0.0043
24	0.98	0.0049
25	0.99	0.0073
26	0.99	0.0046
27	1.00	0.0072
28	1.00	0.0085
29	1.01	0.1363
30	1.03	0.0017
31	1.03	0.0019
32	1.04	0.0047
33	1.05	0.0054
34	1.05	0.0055
35	1.06	0.0109
36	1.07	0.0082
37	1.08	0.0144
38	1.08	0.0104
39	1.09	0.0136
40	1.10	0.0095
41	1.10	0.0148
42	1.12	0.0073
43	1.13	0.0029
44	1.13	0.0051
45	1.14	0.0039
46	1.15	0.0065
47	1.16	0.0070
48	1.18	0.0048
49	1.18	0.0063
50	1.18	0.0063
51	1.19	0.0073
52	1.19	0.0074
53	1.20	0.0075
54	1.20	0.0078
55	1.21	0.0078
56	1.21	0.0078
57	1.22	0.0055
58	1.22	0.0030
59	1.23	0.0027
60	1.23	0.0028
61	1.23	0.0032
62	1.24	0.0037
63	1.24	0.0025
64	1.25	0.0106
65	1.26	0.0080
66	1.27	0.0040
67	1.27	0.0050
68	1.28	0.0047
69	1.28	0.0044
70	1.28	0.0030
71	1.29	0.0038
72	1.29	0.0042
73	1.30	0.0027
74	1.31	0.0031
75	1.32	0.0035
76	1.32	0.0029
77	1.32	0.0022
78	1.33	0.0019
79	1.33	0.0027
80	1.34	0.0028
81	1.34	0.0043
82	1.35	0.0039
83	1.35	0.0049
84	1.36	0.0053
85	1.36	0.0064
86	1.37	0.0065
87	1.38	0.0057
88	1.39	0.0039
89	1.39	0.0033
90	1.40	0.0034
91	1.41	0.0026
92	1.42	0.0108
93	1.43	0.0126
94	1.44	0.0109
95	1.45	0.0111
96	1.46	0.0081
97	1.47	0.0118
98	1.47	0.0091
99	1.48	0.0040
100	1.49	0.0127
101	1.49	0.0129
102	1.49	0.0132
103	1.50	0.0099
104	1.50	0.0097
105	1.51	0.0149
106	1.51	0.0139
107	1.52	0.0096
108	1.52	0.0095
109	1.53	0.0110
110	1.53	0.0080
111	1.54	0.0085
112	1.54	0.0078
113	1.55	0.1012
114	1.56	0.0081
115	1.56	0.0049
116	1.57	0.0087
117	1.57	0.0058
118	1.57	0.0064
119	1.58	0.0062
120	1.58	0.0048
121	1.59	0.0071
122	1.59	0.0033
123	1.60	0.0033
124	1.60	0.0025
125	1.80	0.0012
126	1.81	0.0019
127	1.81	0.0027
128	1.82	0.0071
129	1.82	0.0087
130	1.83	0.0111
131	1.84	0.0150
132	1.84	0.0153
133	1.85	0.0104
134	1.85	0.0078
135	1.85	0.0105
136	1.86	0.0098
137	1.87	0.0043
138	1.87	0.0016
139	1.95	0.0028
140	1.95	0.0034
141	1.96	0.0058
142	1.96	0.0060
143	1.97	0.0035
144	1.97	0.0031
145	1.98	0.0027
146	1.98	0.0032
147	1.99	0.0051
148	1.99	0.0070
149	2.00	0.0077
150	2.00	0.0071
151	2.01	0.0026
152	2.01	0.0024
153	2.02	0.0055
154	2.02	0.0058
155	2.03	0.0027
156	2.21	0.0010
157	2.21	0.0023
158	2.22	0.0024
159	2.22	0.0012
160	2.23	0.0015
161	2.23	0.0065
162	2.24	0.0057
163	2.24	0.0025
164	2.25	0.0023
165	2.25	0.0049
166	2.26	0.0050
167	2.26	0.0024
168	2.28	0.0073
169	2.28	0.0080
170	2.29	0.0081
171	2.29	0.0078
172	2.30	0.0038
173	2.30	0.0042
174	2.31	0.0038
175	2.31	0.0037
176	3.50	0.0009
177	3.50	0.0023
178	3.51	0.0028
179	3.51	0.0031
180	3.52	0.0049
181	3.53	0.0050
182	3.54	0.0031
183	3.54	0.0026
184	3.55	0.0023
185	3.55	0.0009
186	5.35	0.0061
187	5.35	0.0117
188	5.35	0.0095
189	5.36	0.0121
190	5.36	0.0070

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1				Multiplet1	 (ppm)
1	0.68		3	br. s.	18				M11		0.67 .. 0.69
2	0.79		6	m	28 24				M10		0.76 .. 0.82
3	0.85		3	dd	29				M09		0.83 .. 0.87
4	0.96		8	m	27 7a 5a 25			M08		0.89 .. 1.02
5	1.03		11	m	4 14 2a 9 22 21 3 20 19	M07		1.02 .. 1.41
6	1.55		6	m	6a 23 8 15 4		M06		1.41 .. 1.62
7	1.80		3	m	3 14 15			M05		1.79 .. 1.88
8	1.95		2	m	9 10				M04		1.94 .. 2.04
9	2.21		2	m	17				M03		2.20 .. 2.32
10	3.50		1	m	16				M02		3.48 .. 3.57
